title:parker new nback 1, start timestamp:1606521675.819949, stop timestamp:1606521732.464127, headset type:EPOCPLUS, headset serial:4A2C14BBFA, headset firmware:634, channels:120, sampling rate:eeg_128;mot_32;pow_8, samples:7267      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1606521675.819949,106.000000,0.000000,4193.717773,4183.717773,4214.871582,4285.769043,4394.615234,4200.512695,4222.820313,4217.436035,4198.846191,4174.230957,4261.922852,4187.436035,4485.000000,4180.641113,3552.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.827945,107.000000,0.000000,4201.794922,4174.615234,4227.820313,4295.897461,4409.743652,4203.077148,4225.256348,4226.282227,4208.333496,4191.666504,4270.769043,4200.512695,4501.794922,4192.948730,3542.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.835841,108.000000,0.000000,4206.282227,4177.436035,4230.769043,4293.846191,4495.384766,4220.641113,4226.538574,4231.922852,4218.333496,4215.512695,4278.205078,4205.641113,4510.897461,4220.256348,3491.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,27.000000,0.000000,0.699861,-0.353821,-0.600525,-0.156128,0.990250,-0.296880,0.029297,-35.440605,-119.331657,10.916305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.843536,109.000000,0.000000,4198.205078,4185.000000,4215.641113,4286.025879,4498.333496,4218.717773,4219.102539,4220.128418,4215.512695,4210.000000,4266.410156,4198.205078,4503.974121,4219.230957,3210.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.851232,110.000000,0.000000,4201.153809,4192.307617,4222.692383,4297.179688,4472.051270,4217.179688,4222.692383,4219.743652,4211.794922,4200.641113,4260.128418,4201.025879,4506.922852,4211.922852,3552.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.859028,111.000000,0.000000,4214.743652,4202.948730,4244.743652,4322.307617,4505.897461,4234.871582,4244.230957,4241.282227,4215.128418,4214.102539,4277.436035,4215.256348,4525.641113,4227.307617,3542.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.866924,112.000000,0.000000,4217.948730,4208.846191,4241.410156,4322.948730,4536.282227,4235.769043,4241.922852,4241.025879,4215.641113,4232.051270,4289.358887,4220.000000,4534.487305,4230.769043,3491.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,28.000000,0.000000,0.698949,-0.351685,-0.604248,-0.150574,0.972671,-0.297368,0.016114,-35.440605,-119.331657,10.467689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.874820,113.000000,0.000000,4214.230957,4208.974121,4227.307617,4312.179688,4525.641113,4217.436035,4217.307617,4215.769043,4213.717773,4233.461426,4288.205078,4213.846191,4534.487305,4221.794922,3210.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.882715,114.000000,0.000000,4220.512695,4223.974121,4233.461426,4320.641113,4534.871582,4217.948730,4219.358887,4210.897461,4215.769043,4242.692383,4293.974121,4214.743652,4549.487305,4228.461426,3552.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.890711,115.000000,0.000000,4232.436035,4238.077148,4246.153809,4338.333496,4561.794922,4235.641113,4234.358887,4228.333496,4221.282227,4272.948730,4303.333496,4228.333496,4572.307617,4239.102539,3542.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.898607,116.000000,0.000000,4235.256348,4221.666504,4251.153809,4339.871582,4551.153809,4231.922852,4232.692383,4233.717773,4222.820313,4271.794922,4301.153809,4236.538574,4574.230957,4237.179688,3491.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,29.000000,0.000000,0.697847,-0.351685,-0.606567,-0.146301,0.909194,-0.316899,0.012696,-35.889221,-119.780273,7.775998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.906502,117.000000,0.000000,4233.077148,4211.666504,4250.384766,4333.717773,4536.538574,4216.538574,4231.794922,4228.077148,4221.794922,4228.461426,4293.717773,4231.666504,4565.641113,4235.128418,3210.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.914398,118.000000,0.000000,4224.358887,4229.487305,4238.974121,4330.897461,4571.282227,4219.743652,4238.333496,4221.538574,4219.871582,4212.051270,4284.487305,4217.948730,4557.948730,4224.743652,3552.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,5.010180,2.994810,1.551576,0.864239,1.298402,17.807673,6.215887,2.078611,1.633372,2.171740,2.763561,0.935255,1.229181,0.947403,1.458833,6.244314,1.533970,2.252939,1.435778,1.758821,5.975530,3.366051,9.692662,25.916372,27.405912,2.675255,1.455150,1.544467,2.041424,1.764289,1.628108,1.402563,0.924030,0.829158,1.167614,2.366170,2.571793,1.175061,1.095043,1.302232,1.766713,1.770306,1.194108,1.397986,1.068965,1.840315,3.175753,6.157487,8.922001,7.700089,4.824431,1.923422,2.605829,1.307985,2.007032,3.876835,1.969597,1.657279,1.103764,1.822390,13.917477,4.983940,2.082821,1.696961,2.023704,13.223186,4.987593,1.908210,1.068960,1.465190
1606521675.922394,119.000000,0.000000,4200.256348,4231.025879,4216.666504,4328.077148,4611.153809,4222.179688,4223.974121,4206.538574,4207.051270,4237.563965,4264.615234,4198.717773,4530.000000,4190.512695,3542.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.930289,120.000000,0.000000,4173.205078,4213.717773,4195.769043,4326.794922,4608.717773,4212.820313,4199.102539,4187.820313,4201.410156,4236.153809,4236.922852,4174.358887,4486.922852,4156.666504,3491.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,30.000000,0.000000,0.696806,-0.357971,-0.603455,-0.148865,0.915053,-0.325689,0.026368,-35.889221,-119.032578,9.719997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.937985,121.000000,0.000000,4155.897461,4211.538574,4183.589844,4325.897461,4608.205078,4212.820313,4203.717773,4184.487305,4203.333496,4211.666504,4217.051270,4155.897461,4463.846191,4137.179688,3210.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.945680,122.000000,0.000000,4141.282227,4207.948730,4171.538574,4330.512695,4633.974121,4217.563965,4220.000000,4188.333496,4193.846191,4211.025879,4205.769043,4147.307617,4456.666504,4117.051270,3552.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606521675.953276,123.000000,0.000000,4133.205078,4198.205078,4163.717773,4344.871582,4658.077148,4210.769043,4206.794922,4184.615234,4187.307617,4218.589844,4200.897461,4142.436035,4455.897461,4101.153809,3542.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
